combination,model,method,iou_mean,iou_std,fidelity_10_mean,fidelity_20_mean,fidelity_30_mean,fidelity_50_mean,stability_mean,stability_std,n_images
resnet50_gradcam,resnet50,gradcam,0.1601824167156363,0.14672915536304923,0.35472078210547225,0.43717489963905376,0.4604776016521183,0.4668885811443695,0.958157626229069,0.10924602179671175,323
resnet50_shap,resnet50,shap,0.14584929166374969,0.1289046922406531,0.4618611479072239,0.47641020946162327,0.4887518476366743,0.5095289328738793,0.8178638489021477,0.08063810798301634,323
efficientnet_gradcam,efficientnet,gradcam,0.1686404168772305,0.13996932268174422,0.2741996425362727,0.3806242821481481,0.44706172657738946,0.5124471828701314,0.8980136817361961,0.16064926725133188,347
efficientnet_shap,efficientnet,shap,0.14432874529966178,0.12081725286266992,0.5936406413791702,0.6424195739980364,0.6445183995645494,0.632055717701521,0.8123863775208592,0.07445581847899434,347
